video_id,start_frame,end_frame
000000,499,662
000001,315,702
000003,148,233
000004,45,159
000005,95,214
000006,96,217
000007,115,212
000008,90,183
000009,91,237
000010,71,240
000011,146,305
000012,160,251
000013,162,305
000014,111,251
000015,101,175
000016,99,173
000017,76,173
000018,131,173
000019,100,173
000020,93,172
000021,100,149
000022,100,173
000023,96,175
000024,94,173
000025,94,174
000026,67,217
000027,58,184
000028,201,282
000029,45,189
000030,125,166
000031,34,173
000032,17,104
000033,91,192
000034,46,219
000035,129,264
000036,105,210
000037,10,114
000038,13,217
000039,25,151
000040,55,221
000041,84,194
000042,63,226
000043,5,108
000044,533,614
000045,1057,2433
000046,93,392
000047,174,301
000048,37,185
000049,42,233
000050,307,466
000051,124,436
000052,177,364
000053,63,467
000054,86,289
000055,289,443
000056,176,411
000057,56,263
000058,235,413
000059,179,464
000060,124,570
000061,166,261
000062,30,200
000063,90,235
000064,127,313
000065,147,439
000066,186,368
000067,59,182
000068,451,1106
000069,213,465
000070,191,257
000071,20,40
000072,11,33
000073,27,54
000074,5,82
000075,17,60
000076,10,34
000077,26,74
000078,11,47
000079,46,91
000080,13,88
000081,68,126
000082,27,125
000083,22,79
000084,14,43
000085,7,31
000086,13,91
000087,17,43
000088,8,25
000089,6,47
000090,17,43
000091,9,42
000092,181,412
000093,94,244
000094,133,181
000095,141,592
000096,61,384
000097,53,98
000098,136,193
000099,52,88
000100,61,90
000101,59,94
000102,68,177
000103,87,132
000104,20,122
000105,68,154
000106,139,235
000107,93,178
000108,211,268
000109,42,115
000110,32,129
000111,99,164
000112,52,115
000113,70,236
000114,114,180
000115,82,173
000116,75,107
000117,48,108
000118,66,123
000119,144,191
000120,115,170
000121,163,194
000122,49,104
000123,88,109
000124,26,154
000125,65,100
000126,114,141
000127,32,151
000128,25,166
000129,33,135
000130,114,265
000131,35,152
000132,12,109
000133,7,126
000134,15,110
000135,119,281
000136,239,355
000137,87,193
000138,211,378
000139,153,262
000140,91,167
000141,203,382
000142,300,472
000143,148,370
000144,230,808
000145,230,363
000146,151,336
000147,71,246
000148,135,287
000149,438,9974
000150,2,98
000151,312,428
000152,43,222
000153,45,179
000154,0,277
000155,39,191
000156,85,198
000157,54,154
000158,24,193
000159,22,130
000160,24,119
000161,39,153
000162,28,100
000163,26,205
000164,81,318
000165,62,297
000166,83,236
000167,27,343
000168,24,232
000169,30,127
000170,103,635
000171,47,542
000173,270,351
000174,220,358
000175,237,336
000176,245,356
000177,335,929
000178,246,352
000179,241,334
000180,245,357
000181,307,623
000182,239,351
000183,185,445
000184,202,335
000185,239,1741
000186,331,394
000187,52,158
000188,51,220
000189,96,294
000190,170,407
000191,97,235
000192,100,249
000193,88,202
000194,187,229
000195,135,171
000196,218,245
000197,84,150
000198,39,107
000199,67,91
000200,94,188
000201,298,429
000202,118,425
000203,103,246
000204,73,248
000205,169,194
000206,119,234
000207,81,109
000208,93,270
000209,135,251
000210,172,288
000211,201,373
000212,79,306
000213,172,230
000214,82,115
000215,182,279
000216,23,152
000218,61,209
000219,194,336
000220,3,187
000221,147,395
000222,38,274
000223,97,551
000224,94,621
000225,157,242
000226,115,168
000227,87,149
000228,44,207
000229,94,256
000230,0,92
000232,153,325
000233,145,388
000234,253,367
000235,188,354
000236,156,269
000237,18,112
