epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,2.68794,1.26335,3.45799,1.19944,0.00934,0.52837,0.13954,0.10413,1.11098,3.30191,0.98916,0.00021435,0.00021435,0.00021435
2,4.3568,1.24766,2.34066,1.14452,0.8855,0.11524,0.17209,0.11951,1.11747,2.95574,1.02882,0.000434219,0.000434219,0.000434219
3,6.02105,1.1881,1.76884,1.12649,0.96305,0.06738,0.19255,0.13482,1.18045,2.77793,1.09391,0.000645033,0.000645033,0.000645033
4,7.63897,1.07518,1.50422,1.08175,0.78434,0.17553,0.22259,0.16271,1.19093,2.64027,1.14954,0.000846794,0.000846794,0.000846794
5,9.23301,1.13002,1.44665,1.11379,0.90549,0.10755,0.25479,0.13607,1.30558,2.36125,1.19156,0.0010395,0.0010395,0.0010395
6,10.8321,1.0873,1.32713,1.07612,0.59942,0.26809,0.40189,0.13605,1.57978,2.07306,1.4794,0.00122315,0.00122315,0.00122315
7,12.4365,1.07719,1.31321,1.09387,0.61776,0.37943,0.6367,0.25298,1.41656,1.85645,1.28216,0.00125923,0.00125923,0.00125923
8,14.0068,1.05157,1.21692,1.0666,0.73604,0.41271,0.70651,0.37977,1.25085,1.66759,1.15726,0.00123094,0.00123094,0.00123094
9,15.5701,1.03375,1.15857,1.05348,0.78496,0.31206,0.36929,0.2238,1.19402,1.72491,1.16035,0.00120265,0.00120265,0.00120265
10,17.1547,1.015,1.15131,1.02778,0.85558,0.24306,0.30691,0.18224,1.17134,1.60329,1.15131,0.00117435,0.00117435,0.00117435
11,18.7181,0.96484,1.07463,1.02067,0.69421,0.37845,0.39553,0.25224,1.11321,1.39417,1.12992,0.00114606,0.00114606,0.00114606
12,20.273,0.9121,1.03271,1.00864,0.69175,0.32954,0.46911,0.25363,1.19795,1.49745,1.16981,0.00111776,0.00111776,0.00111776
13,21.8513,0.92218,0.98621,0.99468,0.65259,0.68085,0.65993,0.32165,1.08889,1.46974,1.11737,0.00108947,0.00108947,0.00108947
14,23.4092,0.92019,0.96249,1.01183,0.61357,0.81738,0.76928,0.37987,1.10512,1.40943,1.14337,0.00106118,0.00106118,0.00106118
15,24.9832,0.95986,1.02585,1.038,0.42446,0.81993,0.58172,0.40028,1.0136,1.25084,1.0696,0.00103288,0.00103288,0.00103288
16,26.5563,0.9128,0.94771,1.00611,0.69077,0.4805,0.724,0.4907,1.03599,1.24323,1.06916,0.00100459,0.00100459,0.00100459
17,28.1248,0.86803,0.89678,0.99101,0.67588,0.78568,0.64742,0.46905,0.98934,1.19628,1.04473,0.000976293,0.000976293,0.000976293
18,29.6799,0.85551,0.87829,0.97586,0.90152,0.78517,0.81828,0.55473,0.99466,1.17539,1.06705,0.000947999,0.000947999,0.000947999
19,31.2515,0.82902,0.82607,0.96012,0.54321,0.84929,0.80318,0.49398,0.97874,1.15184,1.04845,0.000919704,0.000919704,0.000919704
20,32.8266,0.84186,0.8187,0.96765,0.85241,0.4676,0.56266,0.38635,0.94939,1.09502,1.04329,0.00089141,0.00089141,0.00089141
21,34.4203,0.78958,0.79631,0.95416,0.74435,0.50177,0.66529,0.42641,1.0195,1.12154,1.06241,0.000863116,0.000863116,0.000863116
22,35.978,0.80295,0.78384,0.94631,0.81093,0.78267,0.82864,0.52119,0.94816,1.05211,1.03094,0.000834822,0.000834822,0.000834822
23,37.5292,0.78761,0.7766,0.94529,0.8875,0.78235,0.82725,0.54739,0.92373,1.05626,1.02745,0.000806528,0.000806528,0.000806528
24,39.0969,0.77496,0.74252,0.94538,0.87926,0.80737,0.83262,0.53405,0.95514,1.0817,1.0332,0.000778233,0.000778233,0.000778233
25,40.6581,0.76805,0.7175,0.94251,0.76553,0.77781,0.81643,0.51547,0.99509,1.10554,1.04881,0.000749939,0.000749939,0.000749939
26,42.2167,0.76379,0.70778,0.92919,0.66734,0.85638,0.83427,0.55946,0.9292,0.97663,1.01745,0.000721645,0.000721645,0.000721645
27,43.7814,0.75449,0.71166,0.94373,0.9123,0.44757,0.61518,0.42275,0.94114,1.00312,1.0274,0.000693351,0.000693351,0.000693351
28,45.3381,0.74511,0.70752,0.93682,0.4575,0.85284,0.66607,0.44262,0.97909,1.02019,1.03697,0.000665057,0.000665057,0.000665057
29,46.9159,0.74084,0.69276,0.93848,0.87831,0.80418,0.8331,0.52982,0.91511,0.97446,1.01314,0.000636762,0.000636762,0.000636762
30,48.4941,0.74164,0.68169,0.9298,0.80163,0.84574,0.84169,0.54502,0.88055,0.92783,1.01014,0.000608468,0.000608468,0.000608468
31,50.0421,0.70102,0.64981,0.91923,0.89211,0.82092,0.85399,0.57262,0.95847,0.91544,1.05411,0.000580174,0.000580174,0.000580174
32,51.6022,0.6949,0.6324,0.9168,0.89205,0.78833,0.84946,0.50881,0.92197,0.94556,1.02767,0.00055188,0.00055188,0.00055188
33,53.1466,0.67134,0.61681,0.90957,0.90606,0.81964,0.83876,0.48829,0.88208,0.90651,1.01591,0.000523586,0.000523586,0.000523586
34,54.714,0.68806,0.60739,0.90591,0.90962,0.80142,0.84375,0.56257,0.90791,0.94329,1.01149,0.000495291,0.000495291,0.000495291
35,56.261,0.67588,0.61585,0.91494,0.924,0.78228,0.84165,0.61758,0.89309,0.97194,0.99036,0.000466997,0.000466997,0.000466997
36,57.8195,0.6934,0.62112,0.90519,0.91302,0.7961,0.83269,0.5414,0.88261,0.95573,0.99023,0.000438703,0.000438703,0.000438703
37,59.3747,0.6871,0.60592,0.90453,0.83373,0.82092,0.81682,0.56736,0.87921,0.98652,1.00696,0.000410409,0.000410409,0.000410409
38,60.9155,0.66963,0.59279,0.90659,0.80343,0.83511,0.83453,0.58412,0.85553,0.94218,0.99241,0.000382115,0.000382115,0.000382115
39,62.478,0.68947,0.61678,0.90825,0.79187,0.84831,0.84127,0.56772,0.84611,0.91955,0.99286,0.00035382,0.00035382,0.00035382
40,64.0344,0.63993,0.57154,0.90343,0.84387,0.82086,0.84105,0.5671,0.83441,0.91547,0.97979,0.000325526,0.000325526,0.000325526
41,77.4155,0.61507,0.56896,0.88021,0.90075,0.78191,0.83553,0.59182,0.84266,0.95695,0.97189,0.000297232,0.000297232,0.000297232
42,78.9733,0.57845,0.53153,0.85788,0.86186,0.81585,0.83175,0.49894,0.87709,0.93978,1.00721,0.000268938,0.000268938,0.000268938
43,80.5411,0.56598,0.52546,0.8671,0.84364,0.82092,0.83052,0.53663,0.8786,0.90413,0.9992,0.000240644,0.000240644,0.000240644
44,82.1087,0.54719,0.50979,0.84823,0.8635,0.81383,0.83588,0.51489,0.87403,0.90589,0.98388,0.000212349,0.000212349,0.000212349
45,83.6502,0.54223,0.49883,0.85705,0.90841,0.78901,0.83782,0.5683,0.84878,0.94495,0.97087,0.000184055,0.000184055,0.000184055
